"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"Silt.SOMO31.VRM.WAT",4060.19589412533,4064.581436294,1.53202185690995e-05,48.63,0.180406199368372,-2017.09794706266,0.349228665569307,0,0,13
"DEM.Silt.VRM.WAT",4060.45158160464,4064.83712377332,1.58973805135965e-05,48.798,0.169225882846285,-2017.22579080232,0.349286949390621,0,0,13
"Silt.SOMO31.VRM.WII",4060.19272372664,4064.57826589532,1.53488212229036e-05,49.016,0.18032729942039,-2017.09636186332,0.349229017880946,0,0,13
"SOMO31.VRM.WAT.WII",4060.19345898304,4064.57900115171,1.53423488050949e-05,49.142,0.180344187329004,-2017.09672949152,0.349228942446282,0,0,13
"DEM.SPIN.VRM.WII",4060.28771997005,4064.67326213872,1.50568098605564e-05,49.198,0.179412853635638,-2017.14385998502,0.349234786152223,0,0,13
"DEM.SOMO31.VRM.WAT",4060.46662242682,4064.85216459549,1.50566100396462e-05,49.637,0.171490729143703,-2017.23331121341,0.349277130095921,0,0,13
"Silt.VRM.WAT.WII",4060.43055336666,4064.81609553533,1.52496513954343e-05,49.686,0.173318503074539,-2017.21527668333,0.349266764463432,0,0,13
"Silt.SPIN.VRM.WII",4060.69362986851,4065.07917203719,1.6303225854703e-05,50.094,0.161538013147218,-2017.34681493426,0.349329238814065,0,0,13
"Silt",4070.82564092587,4071.26042353456,0.0149121789237207,50.297,0.0569079460686856,-2031.41282046293,0.35087488907891,8,0.8,4
"FF.SPIN.VRM.WII",4061.62428746767,4066.00982963635,1.95320467554211e-05,50.922,0.141189858786016,-2017.81214373384,0.349453373002855,0,0,13
"FF.Silt.SOMO31.VRM",4061.91056148547,4066.29610365415,1.94887622548244e-05,51.03,0.135526167172711,-2017.95528074274,0.349481814563564,0,0,13
"DEM.SPIN.VRM.WAT",4060.88192724268,4065.26746941136,1.65047479768185e-05,51.453,0.160153380292131,-2017.44096362134,0.349341210037072,0,0,13
"DEM.FF.VRM.WAT",4060.68860032046,4065.07414248913,1.40694997037297e-05,52.505,0.168587611948404,-2017.34430016023,0.349292808655848,0,0,13
"DEM.FF.SPIN.VRM",4062.44221504278,4066.82775721145,1.53936452254217e-05,53.836,0.133511434996897,-2018.22110752139,0.349511190398299,0,0,13
"DEM.FF.SOMO31.VRM",4061.0927217012,4065.47826386988,1.31094391984111e-05,54.059,0.161459924551159,-2017.5463608506,0.349335445377029,0,0,13
"DEM.Silt.SOMO31.VRM",4062.35344596424,4066.73898813292,1.62525534487249e-05,54.502,0.135863624716867,-2018.17672298212,0.349501763713546,0,0,13
"WAT",4074.16890250454,4074.60368511324,0.051528529721526,55.043,0.0384263551151407,-2033.08445125227,0.351265557111388,66,6.6,4
"FF.SOMO31.VRM.WAT",4063.41266809896,4067.79821026764,1.18032536065093e-05,57.894,0.127943580742671,-2018.70633404948,0.349566421590957,0,0,13
"DEM.VRM.WAT.WII",4066.17204384248,4070.55758601116,1.22834783982291e-05,58.109,0.0952638649684475,-2020.08602192124,0.349811077664714,0,0,13
"SOMO31.SPIN.VRM.WAT",4066.70481045033,4071.090352619,1.39495411796213e-05,58.369,0.0895518983741708,-2020.35240522516,0.349859565496991,0,0,13
"DEM.Silt.SPIN.VRM",4066.76104605552,4071.1465882242,9.40428402966163e-06,60.551,0.0940064652732593,-2020.38052302776,0.349832950764628,0,0,13
"FF.Silt",4076.08712420983,4077.34555117612,0.00089914590334253,61.697,0.03904896639893,-2031.04356210492,0.3508342329666,0,0,7
"Silt.SPIN",4076.84219067847,4078.10061764476,0.000517168779514818,63.716,0.0483855998503267,-2031.42109533924,0.350895093609921,0,0,7
"Silt.WAT",4076.84303224364,4078.10145920993,0.000517312959604249,63.925,0.0481168594398394,-2031.42151612182,0.350895701491715,0,0,7
"DEM.Silt",4076.84442340164,4078.10285036793,0.000517062865395185,64.271,0.0484637620580769,-2031.42221170082,0.35089503904305,0,0,7
"Silt.WII",4076.8491223292,4078.10754929549,0.000517308946566311,64.418,0.0477995454447792,-2031.4245611646,0.350896667712999,0,0,7
"DEM.FF.Silt.VRM",4066.1512657402,4070.53680790887,4.12146375312974e-06,64.57,0.116383267566598,-2020.0756328701,0.349692716506799,0,0,13
"Silt.SOMO31",4076.85206578739,4078.11049275368,0.000516641598588473,64.827,0.0488057494030054,-2031.4260328937,0.350894697981457,0,0,7
"FF.VRM.WAT.WII",4068.19765934011,4072.58320150879,3.92106849478402e-06,66.203,0.0975892502473352,-2021.09882967006,0.349819055547044,0,0,13
"FF.Silt.SPIN.VRM",4071.29891688133,4075.68445905001,3.55991638022503e-06,67.431,0.0698297580858985,-2022.64945844067,0.350084920536057,0,0,13
