"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"Silt.SOMO31.VRM.WAT",-3537.74493582175,13,7101.48987164342,7104.6278026779,0.188304420395311,0.753370897954482,-3537.74493582171,21.4699494994529,1.70979664118036e-05
"SOMO31.VRM.WAT.WII",-3537.74496698682,13,7101.48993397364,7104.62786500812,0.188236733451348,0.753331491896215,-3537.74496698682,21.4700118296714,1.70974335601157e-05
"DEM.SPIN.VRM.WII",-3537.85149047448,13,7101.70298094899,7104.84091198347,0.187186140274723,0.752886002352999,-3537.8514904745,21.6830588050216,1.53698051529095e-05
"Silt.VRM.WAT.WII",-3538.16208278946,13,7102.32416557833,7105.46209661281,0.180458517542511,0.749444644846764,-3538.16208278916,22.3042434343588,1.12662616584221e-05
"DEM.FF.VRM.WII",-3538.17870373858,13,7102.35740747715,7105.49533851164,0.176444744097596,0.747201633067558,-3538.17870373858,22.3374853331852,1.10805532932271e-05
"DEM.Silt.VRM.WII",-3538.19554570521,13,7102.39109141041,7105.52902244489,0.169983246934226,0.743445964834811,-3538.1955457052,22.3711692664383,1.08954977087073e-05
"DEM.SOMO31.VRM.WAT",-3538.24902351503,13,7102.49804703006,7105.63597806455,0.178471886851753,0.748368155174119,-3538.24902351503,22.4781248860936,1.03281361888562e-05
"DEM.SOMO31.VRM.WII",-3538.27994358113,13,7102.5598871623,7105.69781819678,0.173345775224577,0.745560822166204,-3538.27994358115,22.5399650183299,1.0013676150515e-05
"DEM.Silt.VRM.WAT",-3538.30967715589,13,7102.61935431175,7105.75728534623,0.175953936735543,0.747048780782932,-3538.30967715587,22.5994321677781,9.72031668776863e-06
"SPIN.VRM.WAT.WII",-3538.39315962967,13,7102.78631925931,7105.9242502938,0.172177040250658,0.744958731770297,-3538.39315962966,22.7663971153452,8.94178939506327e-06
"DEM.FF.VRM.WAT",-3538.50426186794,13,7103.00852373587,7106.14645477036,0.175307216139061,0.747003313452925,-3538.50426186794,22.9886015919055,8.00153570933494e-06
"SOMO31.SPIN.VRM.WII",-3538.54182741313,13,7103.08365482624,7106.22158586072,0.166480848027664,0.741817695236601,-3538.54182741312,23.0637326822689,7.70652938600187e-06
"Silt.SPIN.VRM.WII",-3538.75500924287,13,7103.51001848573,7106.64794952021,0.167518463326641,0.742696735310743,-3538.75500924286,23.4900963417576,6.22694667287082e-06
"DEM.SPIN.VRM.WAT",-3538.96246234529,13,7103.92492469058,7107.06285572506,0.165986225789681,0.741960964865434,-3538.96246234529,23.9050025466131,5.06033663412802e-06
"DEM.FF.SOMO31.VRM",-3539.05119157993,13,7104.10238315986,7107.24031419435,0.167546311561906,0.743163173790273,-3539.05119157993,24.0824610158952,4.63068022859169e-06
"FF.SPIN.VRM.WII",-3540.19563874094,13,7106.39127748187,7109.52920851636,0.14534448340677,0.73100804240358,-3540.19563874094,26.3713553379039,1.47440808939356e-06
"FF.Silt.SOMO31.VRM",-3540.5694748014,13,7107.13894960279,7110.27688063727,0.139261484672843,0.728127118308166,-3540.56947480139,27.1190274588207,1.01452503125267e-06
"DEM.Silt.SOMO31.VRM",-3540.99639863112,13,7107.99279726223,7111.13072829672,0.139621838429848,0.728062692111825,-3540.99639863112,27.9728751182647,6.61991027835502e-07
"DEM.FF.SPIN.VRM",-3541.09081796672,13,7108.18163593344,7111.31956696792,0.137161598740514,0.726957825240128,-3541.09081796672,28.1617137894727,6.02346383145897e-07
"FF.SOMO31.VRM.WAT",-3542.11684477131,13,7110.2336895426,7113.37162057708,0.131183099255602,0.7240250399011,-3542.1168447713,30.213767398629,2.15897954362305e-07
"DEM.FF.Silt.VRM",-3544.74532493441,13,7115.49064986884,7118.62858090332,0.119026941841113,0.718845599698648,-3544.74532493442,35.470727724869,1.55852616152029e-08
"DEM.VRM.WAT.WII",-3545.50889870523,13,7117.01779742111,7120.1557284556,0.0964344746847321,0.705014006757282,-3545.50889871056,36.997875277144,7.26270190836019e-09
"DEM.Silt.SPIN.VRM",-3546.04534872916,13,7118.09069746606,7121.22862850055,0.0951261425688409,0.704592015675756,-3546.04534873303,38.0707753220959,4.24737820998047e-09
"SOMO31.SPIN.VRM.WAT",-3546.16077002999,13,7118.32154005924,7121.45947109373,0.090397603454134,0.701433002328365,-3546.16077002962,38.3016179152746,3.7843744567996e-09
"FF.VRM.WAT.WII",-3546.92387055168,13,7119.84774110335,7122.98567213783,0.0991451566929579,0.709710116238571,-3546.92387055167,39.8278189593766,1.764345997698e-09
"FF.Silt.SPIN.VRM",-3550.66548668845,13,7127.33097337893,7130.46890441342,0.0699792746293579,0.691679575094396,-3550.66548668947,47.3110512349649,4.18427784189534e-11
"Silt.SOMO31.SPIN.VRM",-3552.04315005751,13,7130.08630011501,7133.22423114949,0.0606589129302289,0.685498423907076,-3552.0431500575,50.0663779710376,1.05513715406173e-11
"DEM.SOMO31.SPIN.VRM",-3555.85668258849,13,7137.71336515525,7140.85129618973,0.0545376150309349,0.68383958380349,-3555.85668257762,57.6934430112806,2.32869593930446e-13
"Silt",-3567.14330851371,4,7142.28661702743,7142.60661702743,0.0566792300083621,0.679836738866066,-3567.14330851371,59.4487638489745,9.68165736806467e-14
"FF.Silt",-3566.40950599287,7,7146.81901198572,7147.73704477261,0.0387387532283094,0.674530240126775,-3566.40950599286,64.5791915941581,7.44545904759934e-15
"Silt.SPIN",-3567.28086712549,7,7148.56173425097,7149.47976703786,0.0480111183161983,0.675738937849956,-3567.28086712549,66.321913859404,3.11504372830865e-15
"DEM.Silt",-3567.28194190921,7,7148.56388381843,7149.48191660531,0.0480902582545146,0.675774122871687,-3567.28194190921,66.3240634268632,3.11169752853524e-15
"Silt.SOMO31",-3567.28467642848,7,7148.56935285691,7149.48738564379,0.0484365815017025,0.675929334883736,-3567.28467642845,66.3295324653427,3.10320015518558e-15
"Silt.WAT",-3567.28527373788,7,7148.57054747576,7149.48858026265,0.0477388988833581,0.675612193027162,-3567.28527373788,66.3307270841979,3.10134713794466e-15
"Silt.WII",-3567.29530893725,7,7148.59061787453,7149.50865066142,0.0474174708496605,0.675459264441392,-3567.29530893727,66.3507974829654,3.07038014092956e-15
"WAT",-3571.79094426945,4,7151.58188853889,7151.90188853889,0.0374330473529005,0.657641898482173,-3571.79094426945,68.7440353604406,9.27912758922327e-16
"SOMO31",-3573.29743044313,4,7154.5948608872,7154.9148608872,0.0445857443571262,0.66941833381911,-3573.2974304436,71.7570077087512,2.05706736326762e-16
"Silt.SPIN.WII",-3566.57002741161,10,7153.14005482325,7154.98879431905,0.0305677800665315,0.668093583933563,-3566.57002741163,71.8309411406008,1.98241270846202e-16
"FF.Silt.WII",-3566.95731898895,10,7153.91463797787,7155.76337747367,0.0353973176986762,0.672515743611314,-3566.95731898894,72.6055242952216,1.34584634131384e-16
