id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion,UTMX,UTMY,CoordLocation,Buffer_5km
DEC02196,Balfour Downs 3,-22.5442,120.7992,16/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M61761,Chichester,890846.3953,7501962.593,96,19
DEC02197,Balfour Downs 2,-22.6033,120.7833,15/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M61766,Chichester,889042.6475,7495452.055,97,19
DEC02198,Balfour Downs 3,-22.5442,120.7992,14/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61769,Chichester,890846.3953,7501962.593,96,19
DEC02199,Balfour Downs,-22.6111,120.7289,11/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M61782,Chichester,883421.3,7494728.64,98,19
DEC02202,Mount Elvire 3,-21.6828,116.7522,5/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56634,Chichester,474365.3247,7602261.478,99,42
DEC02203,Mount Elvire 2,-21.8736,116.5025,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56639,Hamersley,448601.7769,7581080.506,100,72
DEC02204,Mount Elvire 5,-21.7083,116.7658,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56642,Hamersley,475776.5026,7599441.259,101,42
DEC02205,Marble Bar,-21.4264,119.5531,10/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56667,Chichester,764644.3975,7628505.386,102,48
DEC02206,Marble Bar,-21.4264,119.5531,11/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56672,Chichester,764644.3975,7628505.386,102,48
DEC02210,Mount Elvire,-21.8397,116.6825,1/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56780,Hamersley,467190.5557,7584882.014,103,79
DEC02211,Warramboo Creek 2,-21.7333,115.8081,30/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56783,Hamersley,376735.8655,7596217.721,104,83
DEC02212,Warramboo Creek 2,-21.7319,115.8072,30/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56784,Hamersley,376641.5845,7596371.984,105,83
DEC02213,Warramboo Creek,-21.6892,115.8431,29/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56792,Hamersley,380319.3972,7601127.009,106,83
DEC02215,Peedamulla,-21.9481,115.83,28/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56802,Hamersley,379181.6249,7572456.513,107,36
