id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion
DEC02241,Mount Bruce 3,-22.6214,118.3147,25/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M60514,Hamersley
DEC02242,Mount Bruce,-22.5833,118.2903,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60518,Hamersley
DEC02243,Wheelarra Hill,-23.3644,120.3453,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60539,Fortescue
DEC02244,Goldsworthy,-20.3908,119.9086,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61044,McLarty
DEC02245,Warrawagine 2,-20.9169,120.6242,2/10/2005,2005,F,Ningaui timealeyi,Nt,WAM_M61064,Chichester
DEC02246,Warrawagine,-20.7392,120.8939,7/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M61096,Chichester
DEC02247,Wodgina 8,-21.4008,118.7092,22/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61835,Chichester
DEC02333,Peedamulla 3,-21.9131,115.7172,24/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M56833,Hamersley
DEC02334,Warramboo Creek,-21.6892,115.8431,24/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M56834,Hamersley
DEC02336,Wickham,-20.6884,117.0069,1/10/2004,2004,F,Ningaui timealeyi,Nt,WAM_M57243,Chichester
DEC02337,Karratha,-20.768,116.842,2/10/2004,2004,M,Ningaui timealeyi,Nt,WAM_M57252,Roebourne
DEC02339,Wheelarra Hill 5,-23.4583,120.1558,5/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60545,Augustus
DEC02340,Wheelarra Hill 4,-23.4986,120.2911,5/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60546,Augustus
DEC02341,Balfour Downs 2,-22.6033,120.7833,10/10/2005,2005,F,Ningaui timealeyi,Nt,WAM_M60549,Chichester
DEC02342,Balfour Downs 4,-22.5164,120.6594,15/10/2005,2005,F,Ningaui timealeyi,Nt,WAM_M60559,Chichester
DEC02345,Dresser,-21.2181,119.4019,15/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56684,Chichester
DEC02347,Mount Rica,-21.9522,116.4883,2/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56773,Hamersley
DEC02360,Tom Price 10,-22.6989,117.8172,28/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60532,Hamersley
DEC02361,Wheelarra Hill 2,-23.28,120.1761,4/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M60543,Fortescue
DEC02362,Coongan River 3,-20.9353,119.8581,25/9/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M61041,Chichester
DEC02363,Coongan River 3,-20.9353,119.8581,25/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61042,Chichester
DEC02365,Yarrie 3,-20.7236,120.2022,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61063,Chichester
DEC02366,Yarrie 2,-20.7669,120.3767,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61065,Chichester
DEC02367,Tom Price 9,-22.8092,117.4775,4/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61794,Hamersley
DEC02368,Tom Price 8,-22.3778,117.4667,4/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61795,Hamersley
DEC02370,Tom Price 7,-22.3214,117.4794,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61800,Hamersley
DEC02371,Tom Price 6,-22.72,117.5106,2/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61801,Hamersley
DEC02373,Tom Price 5,-22.6658,117.6128,1/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61803,Hamersley
DEC02374,Tom Price 9,-22.7975,117.4944,1/10/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61806,Hamersley
